No,Nama Resep,Kategori,Deskripsi,Bahan-bahan,Jumlah Bahan,Langkah Memasak,Jumlah Langkah,Waktu Memasak,Jumlah Porsi,Penulis,Lokasi Penulis,URL
107,Rendang Daging Sapi Praktis,rendang,"Resep rendang yang biasanya mamaku bikin setiap lebaran. Resepnya gak pake daun jeruk, tapi kalo suka bisa ditambahkan ya. Selamat mencoba ya!","500 gram daging sapi (kira-kira 10-14 potong daging ) | Bumbu halus | 1 bungkus bumbu giling untuk rendang / bumbu kuning dan merah (bisa beli di pasar) | Bumbu Lainnya | 3 sdm kelapa gongseng (cara buatnya bisa cek di resep saya ya) | 2 ruas jari kayu manis | 2 bh asam kandis | 2 ruas lengkuas , digeprek | 2 btg serai , digeprek | 2 lembar daun salam | 1 lembar daun kunyit | 1 sachet bumbu rendang merek Bamboe | 1 sdm bumbu cap kepala sapi (opsional) | secukupnya gula, garam, dan kaldu bubuk sapi Royco | Bahan Lainnya | 200 ml santan cair | secukupnya air matang | secukupnya minyak goreng | secukupnya bawang goreng",19,"Tuang minyak ke wajan & nyalakan api sedang. Jika sudah panas, tumis bumbu halus sampai beraroma dan mengeluarkan minyak. Kalo saya langsung beli bumbu giling untuk rendang di pasar ya, makanya warnanya sudah agak cokelat. || Masukkan daging, aduk-aduk supaya rata dengan bumbu. Diamkan sebentar sampai daging mengeluarkan air, berubah warna dan menyusut. || Masukkan air kira-kira sampai daging terendam, kemudian masukkan santan, daun kunyit, daun salam, serai, asam kandis, kayu manis, lengkuas, bumbu sachet rendang Bamboe, gula, garam, royco sapi, kelapa gongseng dan bumbu cap kepala sapi (opsional). || Di awal aduk terus supaya santan tidak pecah, jika sudah rata santannya baru bisa sesekali diaduknya agar bagian bawah wajan tidak gosong atau berkerak. || Olahan rendang diaduk sampai air menyusut dan warna bumbu mulai menghitam. Untuk tingkat kekeringan bumbu rendangnya sesuai selera ya, kalo suka masih basah saat bumbu berwarna cokelat terang bisa langsung dimatikan apinya. Kalo saya lebih suka bumbu rendangnya cokelat tua / hitam. || Koreksi rasa. Jika sudah pas matikan api. Sajikan dengan taburan bawang goreng di atasnya. 👍🏻",6,,,amelia fitri,Kota Bandung,https://cookpad.com/id/resep/25488358
108,Rendang Daging Kentang,rendang,"Bismillah.. Masih di bulan Syawal ✨✨ Minal Aidin wal Faidzin.. Mohon maaf lahir dan batin kepada semua member dan tim Cookpad 🥰🥰🙏🏻🙏🏻 Tadinya niat mo rehat sejenak setelah menyelesaikan marathon GAS 2025 😂😂 ehh ternyata Mamah kasih notif, Cookpad Apron challenge 37...","1 kg daging Sapi , potong² | 250 gr Kentang mini , cuci sikat bersih tanpa dikupas kulitnya | Bumbu halus : | 150 gr Bawang merah | 8 siung Bawang putih | 250 gr Cabe merah keriting mix Rawit | 1 sdt Jintan | 50 gr Jahe | 3 butir Kemiri | 100 gr Lengkuas | 1 buah Pala | 1 sdt merica | 3 sdm Ketumbar | Bumbu rempah : | 3 btg Serai , memarkan | 2 lembar daun Kunyit , simpulkan | 5 lembar daun Salam | 5 lembar daun Jeruk | 5 butir Cengkeh | 2500 ml Santan | 3 jempol Jahe | 2 jempol Kunyit (me: skip) | 2 jempol Lengkuas | 1 sdm garam | 5 sdm Kelapa sangrai, dihaluskan",25,"Siapkan semua bahan yang akan digunakan || Potong² daging kira² jadi 25-30 potong. Giling bumbu hingga halus. Cuci bersih Kentang (kulitnya tidak perlu dikupas) || Masukkan daging dan bumbu halus ke dalam wajan, tambahkan serai, daun kunyit, daun Salam, daun Jeruk dan garam. Aduk daging dan bumbu hingga merata. Diamkan minimal 15 menit (posisi kompor mati) || Setelah 15 menit nyalakan api kompor. Daging akan mengeluarkan air, semakin lama semakin banyak air nya || Setelah Santan mendidih, kecilkan api. Masukkan Kentang mini, masak terus sambil diaduk² || Masak terus sampai Santan menyusut.. Aduk, dan adukk lagiii 🔥🔥 || Setelah Santan mulai mengental, ambil Serai dan rempah² daun Setelah daging empuk dan bumbu berminyak, matikan api || Dan akhirnyaaa... Huhuyy!! Rendang nya sudah jadiii💃🏻💃🏻💃🏻 Sajikan bersama Ketupat, Sayur Labu, Kentang Balado, Opor Ayam dan lauks paporid lainnya! 🥰🥰❤️❤️",8,4 jam,,Dina Yuandha,"Jakarta - Dumai, Riau",https://cookpad.com/id/resep/25049946
109,Rendang Daging Sapi (Versi Simple),rendang,"maaf sebelumnya ini versi sat set aja yaa...ga se ontentik padang asli,ini versi rumahan..mksh... #Semangcook_FavoritKeluargaku #CookpadApron2026 #FavoritKeluargaku #SemangcookHokyaHokye26 #CookpadCommunity_Semarang","500 gr daging sapi | bumbu halus : | 3 siung baput | 5 siung bamer | 5 bh cabe kriting merah | 5 bh cabe rawit | 2 butir kemiri | seruas kunyit | aromatic : | 1 batang sereh , geprek | seruas lengkuas geprek | 2 lembar daun salam | 2 lembar daun jeruk | seruas jahe geprek | seasoning : | secukupnya garam, gulpas, lada bubuk, kaldu bubuk | 2 sachet santan cair instant 65 ml | 1 bks bumbu instant rendang | secukupnya kelapa parut gongseng (bisa skip) | secukupnya air",20,"Potong² daging sesuai selera || Siapkan bumbu,haluskan,sisihkan || Haluskan kelapa gongseng (kelapa parut yg dikeringkan/disangrai sampai coklat) || Tumis bumbu halus,hingga harum masukkan aromatic,masak hingga tanak || Masukkan daging sapi,masak sebentar,lalu masukkkan air secukupnya || Tunggu hingga kuah mendidih,masukkan santan cair,masak dg api sedang cenderung kecil,beri seasoning,koreksi rasa || Masak hingga kuah agak menyusut,lalu masukkan kelapa gongseng,masak rendang hingga menyusut/kering/keluar minyak || Sajikan",8,1 jam,,Agsha✨✅,di hatimu,https://cookpad.com/id/resep/25575910
110,Nachos Rendang Ayam,rendang,"Bikin salah satu hidangan favorit keluarga saat berkumpul yaitu Nachos, hidangan khas Mexico. Dipadukan dengan Rendang Ayam, hidangan khas Nusantara, rasanya enak. Cocok banget dimakan beramai2 bersama keluarga. #Semangcook_FavoritKeluargaku #CookpadApron2026...","Bahan rendang ayam : | 200 gr ayam fillet , cincang kasar | 1/2 bungkus bumbu rendang instan | Secukupnya santan cair | Bahan nachos : | 75 gr tortilla chips | 1 buah tomat , cincang kasar | 3 siung bawang merah , iris tipis | 2 buah cabai hijau , iris tipis | Secukupnya keju mozzarella",10,"Campur daging ayam dengan bumbu rendang instan dalam wajan anti lengket lalu aduk hingga bumbu merata. || Tambahkan santan cair, lalu aduk dan masak hingga bumbunya meresap. || Setelah bumbunya meresap dan matang, angkat rendang ayamnya. || Siapkan loyang, alasi dengan baking paper. Letakkan tortilla chips, rendang ayam, tomat cincang, irisan bawang merah, irisan cabai hijau dan keju mozzarella. || Panggang dalam oven hingga kejunya meleleh saja lalu angkat dan siap disajikan.",5,40 menit,,Dwi Oti Eliyani,"Ambarawa, Semarang Jawa Tengah",https://cookpad.com/id/resep/25597607
111,Rendang Ayam,rendang,makanan favorit keluarga.. apakah anak-anak pasti doyan bangett 🤭 #CookpadApron2026 #FavoritKeluargaku #Kombes_FavoritKeluargaku #CookpadCommunity_Bekasi,"1 kg ayam | 15 siung bawang merah | 12 siung bawang putih | 3 butir kemiri | 1 sdt kunyit bubuk | 1 sdt bubuk ketumbar | 8 buah cabe merah keriting (sesuaikan selera, saya sengaja agar tidak pedas karena buat anak-anak juga) | 1 ruas ibu jari jahe | 1 ruas ibu jari lengkuas (geprek) | 3 lembar daun pandan | 1 batang sereh (geprek) | 65 ml santan instan | 1 1/2 sdt kaldu bubuk | 1 sdt gula | 1 sdt micin | 1 sdt garam | sesuai selera Kecap manis | + 500 ml air | 10 lembar daun jeruk | 5 lembar daun salam | 1 ruas ibu jari jahe (geprek, untuk rebusan ayam )",21,"Bismillahirrahmanirrahim.. Pertama cuci bersih ayam lalu rebus, masukan daun jeruk, daun dan jahe geprek, rebus kira-kira sampai ayam matang, setelah di rebus goreng ayam || Haluskan semua bumbu, lalu tumis bumbu sampai harum || Setelah bumbu harum, tambahkan kecap manis, lalu selanjutnya santan, sambil terus di aduk lalu tuang air || Masukan ayam yang sudah di goreng tadi, tambahkan, gula, garam, kaldu bubuk dan micin, masak sampai air surut || Alhamdulillah rendang ayam siap di hidangkan 🥰",5,1 jam,,Ummu Ryu_Ra,Karawang,https://cookpad.com/id/resep/25593200
112,Rendang Sapi Bumbu Instan,rendang,"Rendang di kala lebaran memang salah satu menu penyelamat. Karna pas lebaran pasar sepi orang jualan jadi kalau laper tinggal buka simpanan masakan dari freezer. Di angetin bentar, masak nasi, bereess 😊 Ig Hapsarieskitchen #CookpadApron2026 #FavoritKeluargaku...",400 gr daging sapi | 65 ml santan instan | 300 ml air | 500 ml air kelapa | 1 sachet bumbu instan Rendang | 1 batang sereh | 4 lembar daun jeruk | 4 lembar daun salam | 1 ruas lengkuas (geprek) | 1 sdt kaldu bubuk | 100 gr kelapa parut,11,"Siapkan bahan-bahan memasak rendang || Masukkan daging, air dan bumbu rendang. Masak hingga agak asar atau air menyusut. || Setelah air mulai menyusut, masukkan air kelapa, bumbu aromatik dan santan instan. || Masak hingga daging empuk dan bumbu meresap. || Saya memasak rendang sekitar 2 jam hingga daging empuk dan bumbu meresap kedalam daging. Sajikan rendang dengan sayur santan dan sambel ijo pasti makin nikmat 🥰",5,2 jam,,Alifa Hapsari,Surabaya,https://cookpad.com/id/resep/25576429
113,Nasi Goreng Rendang,rendang,"Nasi goreng sll jadi Favorit dirumah ya, terutama nasi goreng buatan emak, 😀 Karena mash ada rendang di kulkas, jadi inget podcast yg sll menyajikan MiNas Goreng Rendang 🤭 akhirnya ku coba. Enaak.... #Semangcook_FavoritKeluargaku #CookpadApron2026 #FavoritKeluargaku...","1 piring besar Nasi putih suhu ruang | 1 sdm minyak goreng | 2 siung bawang putih , cincang | 2 butir bawang merah , iris tipis | 3 sdm bumbu rendang | 2 potong daging rendang, potobg kotak | Secukupnya sayuran | Secukupnya garam halus | 1 sdt bubuk cabe (optional)",9,"Siapkan semua bahan, tumis bawang putih sebentar, masukkan bawang merah tumis hingga harum masukkan bumbu rendang tumis sebentar. || Masukkan potongan daging rendang, tumis sebentar. Masukkan sayuran tumis hingga layu. || Masukkan Nasi, cabe bubuk dan secukupnya garam, aduk rata, tes rasa. Siap sajikan",3,15 menit,,Nur Erma,Ambarawa Kab. Semarang,https://cookpad.com/id/resep/25570266
114,Rendang Minang,rendang,Saya dan keluarga pecinta rendang. Awalnya sy pakai resep xander kitchen tp bbrp x aromanya g seperti masakan rendang otentik rumah makan padang yg menguar aromanya sampai desa tetangga eh.. tp bener deh ini resep xander yg udah dimodivikasi sm temen sy yg org minang asli....,Bahan bahan | 500 gram daging sapi sengkel | 1.250 ml santan kental dari 1 butir kelapa parut tua (sisihkan 100gram kelama parut tua untuk disangrai. Bahan ambu-ambu) | 1 lembar daun kunyit sobek sobek | 3 lembar daun salam | Ambu ambu | 50 gram kelapa parut tua disarangai hingga kecoklatan lalu diuleng dg sedikit minyak. Sisihkan | Bumbu yang dihaluskan menggunakan blender | 100 gr cabe keriting merah | 75 gr bawang merah | 3 siung bawang putih | Bumbu sangrai dan harus diuleg biar aromanya keluar seperti RM padang | 1/2 sdt jinten | 1/2 sdt adas | 1/2 btr pala | 3 butir cengkeh | 2 butir kemiri sangrai | 1 1/2 sdm ketumbar | 1 sdt merica | 1 jempol kunyit (sy pakai kunyit bubuk 1ujung sendok teh) | Bahan cemplung dan geprek | 2 batang sereh geprek | 1 jempol jahe | 1 jempol laos | 4 lembar daun jeruk | secukupnya garam,26,"Untuk ambu ambu Ambil 50 gram kelapa tua dan sangrai sampai kecoklatan kemudian uleg mengunakan sedikit minyak. Gunanya untuk step akhir menghitamkan rendang. Sisihkan || Potong potong 500gram daging kira-kira jd 10potong. Masukkan bumbu halus dan bumbu sangrai yang sudah dihaluskan ke dalam wajan kemudian masukkan daging juga, tambahkan serai, daun kunyit, daun salam dan garam. Aduk daging dan bumbu hingga merata. Diamkan minimal 15 menit posisi kompor mati. || Setelah 15 menit nyalakan api kompor. Daging akan mengeluarkan air. Masak dan terus diaduk hingga air menyusut kemudian masukkan santan. Hingga santan mendidih dan kecilkan apinya. Masak diaduk hingga menyusut dan berminyak. || Terakhir masukkan ambu ambu untuk menhitamkan rendang. Jika kurang empuk bisa tambahkan sedikit air dan masak dan aduk hingga empuknya sesuai. Tes rasa. Sajikan dengan sambel ijo dan gulai sayur.",4,180 menit,,Hana Faridah,Malang,https://cookpad.com/id/resep/25566585
115,Rendang Rumahan,rendang,"Bismillah, ikutan Posbar juga setelah maju mundur mau nulis. Sebenarnya berasa sedih ya, hampa karena ini tahun ke-2 tanpa Bapak, dan tahun ke-3 tanpa ibu Al-Fatihah , campur aduk perasaan sebetulnya, karena tidak ada yang special. Akhirnyan masak rendang rumahan yang...","3 butir kelapa tua, diparut ambil santan kentalnya saja | 1 kg Daging sapi has dalam | Bumbu | 250 gr bawang merah haluskan | 50 gr cabe ( rawit ) | Secukupnya Garam halus | 1-2 Sdm bumbu rendang halus (Singgalang) | 3 buah daun jeruk",8,"Bersihkan daging, potong-potong sesuai selera || Masak santan kental dari 3 buah kelapa, sampai mendidih sambil terus diaduk, dengan menggunakan api kecil, agar tidak meletup letup. || Masukkan bumbu halus, dan cabenyang sudah dihaluskan, aduk aduk terus dengan api sedang. || Kemudian masukkan daging dan tambahkan bumbu rendang bubuk dari toko penggilingan yang terkenal didaerah saya.. || Masak terus sampai daging empuk dan koreksi rasa. Saya hanya menambahkan garam halus, untuk rasa manis sudah didapat dari santan kelapa, aduk perlahan agar daging tidak hancur. Setelah matang, matikan kompor, tutup dengan penutup, dan diamkan sampai dingin,. Setelah dingin tata pada piring saji, dan Selamat mencoba Rendang Rumahan yang simple.",5,2 jam,1 porsi,Indah 'Pawon Zie',Bandar Lampung *Indonesia*,https://cookpad.com/id/resep/25563313
116,Rendang 2 T(tahu Telur),rendang,"Masak rendang yang sat set untuk hidangan di hari raya, pake bumbu instan aja.Kebetulan juga ada sisa daging rebus di kulkas jadi campur aja sekalian ama tahu dan telur. Nggak sampai 30 menit udah siap dong hidangannya. #HidanganHariRaya #InspirasiDapurRamadan...",3 buah tahu putih | 4 butir telur rebus | 100 gram daging sapi | 1 bungkus Bumbu Rendang Sajiku | 300 ml santan encer | 100 ml santan kental | 1 sdt gula pasir | 1 sdm kecap,8,"Goreng tahu hingga matang berkulit. Kupas telur yang sudah di kupas. Panaskan sedikit minyak, tuang bumbu instan Rendam Sajiku, tumis sebentar. || Kemudian masukkan tahu, telur dan daging, aduk sebentar lalu tuang santan encer. || Masak hingga mendidih dan bumbu meresap, tambahkan gula pasir dan kecap. Tuang santan kental, masak hingga air menyusut dan kental || Sajikan",4,30 menit,4 porsi,Netty Suherlis,Blitar,https://cookpad.com/id/resep/25562412
117,Rendang Daging Sapi Presto,rendang,"Hari raya Idul Fitri adalah simbol kemenangan umat Islam dalam melawan hawa nafsu, momen kembali ke fitrah (suci), serta hari penuh syukur, silaturahmi, dan saling memaafkan. Pada momen ini, ada tradisi yang selalu dinantikan, seperti mudik, berbagi THR dan...","1 kg daging sapi bagian paha (me : has dalam ) | 2500 ml santan kental dari 3 butir kelapa tua parut (me : 300 ml santan instant + 2200 ml air) | 3 batang serai , digeprek | 1 lembar daun kunyit , sobek2 | 5 lembar daun salam | Bumbu Halus : | 250 gr cabe keriting merah + cabe rawit (me : 100 gr cabe merah besar) | 150 gr bawang merah | 6 siung bawang putih | 1 sdt jinten (me : 1/2 sdt jinten bubuk) | 1 sdt adas | 1 butir pala (me : 2 sdt pala bubuk) | 5 butir cengkeh (me : 1/4 sdt cengkeh bubuk) | 3 butir kemiri , disangrai | 3 sdm ketumbar (me : 1 sdm ketumbar bubuk) | 1 sdt merica (me : merica bubuk) | 3 jempol jahe (me : 3/4 sdt jahe bubuk ) | 2 jempol kunyit (me : 1 sdm kunyit bubuk ) | 3 jempol lengkuas | Secukupnya garam (me : 1 sdm) | Secukupnya gula (me : 1,5 sdm)",21,"Masukkan daging dan bumbu halus ke dalam panci presto. Tambahkan serai, daun kunyit, daun salam dan garam. Tuangkan juga air dan santan instant. Aduk rata. || Tutup panci presto dan nyalakan kompor. Presto daging selama 30 menit. || Setelah selesai di presto, tuangkan daging beserta kuahnya kedalam wajan. Tambahkan gula, aduk rata. Masak dengan api kecil sambil sesekali diaduk agar tidak gosong; hingga kuahnya mengering, dagingnya berwarna gelap dan bumbunya mengeluarkan minyak. Tes rasa. Jika sudah pas, matikan api. Rendang daging sapi siap untuk disajikan.",3,1 jam,5 porsi,Selera Ummi,Palembang,https://cookpad.com/id/resep/24619822
118,Rendang Ayam Dan Telur,rendang,Beli ayam mau di masak rendang aja pakai bumbu instan dan santan instan. Biar banyak tambahin telur juga. #InspirasiDapurRamadan #HidanganHariRaya #CookpadCommunity_Depok,"1,2 kg ayam | 1 bh jeruk nipis | 1 sdt garam | 5 btr telur rebus | 1 bks bumbu rendang instan | 6 btr bawang merah | 3 siung bawang putih | 10 bh cabe merah keriting | 5 bh cabe rawit merah | 1 lbr daun kunyit | 3 lbr daun salam | 3 lbr daun jeruk | 1 btg sereh ,geprek | 65 ml santan Rose Brand | 2 sdt garam | 1 ibu jari gula aren | 2 gls air",17,"Cuci bersih ayam. Beri air jeruk nipis dan garam. Diamkan 10 menit, cuci lalu tiriskan. Siapkan bumbu. Haluskan. Goreng ayam setengah matang. Sisihkan. || Tumis bumbu halus. Beri daun jeruk, daun salam, daun kunyit dan sereh. Setelah wangi masukkan bumbu instan. || Beri air setelah mendidih masukkan ayam dan telur rebus. Masukkan santan, beri garam dan sedikit gula merah. Kaldu kalau suka. Masak sambil sesekali di aduk. Koreksi rasanya. || Masak sampai kadar air yang diinginkan. Mau agak kering atau nyemek gitu.",4,2 jam,,Martha Saragih Naibaho,Depok,https://cookpad.com/id/resep/25563246
119,Rendang Daging 1 Kg,rendang,"Minggu, 29.03.26 .. Hari terakhir posbar Mamah Cookpad tema ""Hidangan Hari Raya"" .. Jam-jam terakhir baru sempat ngetik resep karena beberapa hari ke luar kota. Sampai rumah jam 8 malam, jam 10 ngetik ngebut melengkapi resep ""Rendang Daging 1 Kg"" ini. Rendang daging...","1 kg daging sapi kualitas bagus, potong kotak tebal | 1 sdm air jeruk nipis | 3-4 mata asam, larutkan dengan sedikit air | 3 sdt garam | 750 ml santan kental (dari 3 butir kelapa ) | 1,5 L santan encer (perasaan sisa santan kental) | 2 sdm munjung kelapa gongseng (boleh diskip kalau ga ada) | Bumbu Halus | 15 butir bawang merah | 7 butir bawang putih | 4 sdm munjung cabai merah giling | 1,5 sdm cabai rawit hijau giling | 2 cm jahe | Bumbu Aromatik: | 4 lembar daun jeruk | 2 batang serai , memarkan | 4 cm lengkuas , memarkan | 2 lembar kecil daun kunyit (besar 1 lembar), simpulkan | 2 lembar daun pandan , simpulkan",19,"Cuci bersih daging, tiriskan. Beri 1 sdm air jeruk nipis, air asam Jawa (dari 3-4 mata asam Jawa) dan 1 sdt garam, balur rata, sisihkan. || Rebus santan encer, bumbu halus, daun jeruk, serai, lengkuas, daun kunyit dan daun pandan. Masak sampai mendidih. || Setelah santan mendidih, masukkan daging sapi dan kelapa gongseng, masak sampai santan menyusut sambil sesekali diaduk. || Setelah santan menyusut dan mengental, tambahkan santan kental dan sisa garam. Masak sambil sesekali diaduk supaya bawahnya tidak gosong. || Setelah kuah mengental dan minyak dari santan keluar, kecilkan api, masak terus sambil sesekali diaduk sampai tingkat kekentalan dan warna rendang yg diinginkan. Semakin lama dimasak dengan api kecil, rendang akan semakin pekat dan hitam warnanya. Jangan lupa koreksi rasa, matikan api. || Rendang saya masak tidak terlalu kering dan masih berbumbu basah. Biasanya nanti saat saya panaskan kembali, baru saya buat sampai rendang berwarna lebih gelap. || Sajikan & selamat mencoba. Saya tidak sempat foto resep karena lebaran sangat sibuk mempersiapkan segala sesuatu. Jadinya kelupaan foto. Hanya sempat foto rendangnya saat mau disajikan di meja makan, itupun tinggal sedikit saat lebaran hari ke-2.",7,5 jam,,Nauzaery Setyo,Bireuen - Aceh - Indonesia,https://cookpad.com/id/resep/25434654
120,Rendang Minang Dengan Ambu Ambu,rendang,"📆Min, 29 Mar 2026 Bukan orang Minang! Tapi cinta sama masakan Minang , terutama rendang ini. Dari beberapa sumber, rendang Minang yg otentik itu cara memasaknya yaitu tanpa menumis bumbunya terlebih dahulu. Untuk bumbunya, rendang Minang menambahkan kelapa...","2 kg daging sapi | 3 butir kelapa , parut (kalau mau kental bisa pkai 4-5 butir kelapa ) | 3 liter air | 2 sdm garam, sesuaikan selera | 2 sdm gula pasir, sesuaikan selera | Bumbu Halus: | 500 gr cabe merah keriting | 250 gr bawang merah | 100 gr bawang putih | 100 gr lengkuas muda | 100 gr jahe | Bumbu aromatik: | 4 batang sereh | 10 lembar daun jeruk | 3 lembar daun kunyit | Bumbu Rempah (sangrai, haluskan): | 10 buah cengkeh | 8 cm kayumanis | 6 buah bunga lawang | 6 buah kapulaga | 1/2 sdm jinten | 1/2 buah pala | 1 sdm ketumbar | 1 sdm lada butir | Kelapa Gongseng (ambu-ambu): | 100 gr kelapa parut , sangrai sampai kecoklatan lalu haluskan sampai berminyak",26,"🥩 Gongseng kelapa: sangrai kelapa parut hingga kering kecoklatan lalu dalam keadaan masih panas, haluskan sampai keluar minyaknya 🥩Sangrai bumbu rempah hingga harum, kemudian haluskan. 🥩 Haluskan bumbu halus. || 🥩Tuang santan dalam wajan, lalu masukkan bumbu halus dan bumbu rempah. Aduk rata || 🥩Masukkan bumbu aromatik (sereh dan dedaunan).masak sampai mendidih dan keluar minyaknya. 🥩Masukkan daging sapi. Masak terus sampai lama. 🥩Masukkan garam dan gula. Sedikit2 dulu, jangan langsung banyak. Masak sampai santan setengah menyusut. || 🥩Masukkan kelapa Gongseng (ambu-ambu), aduk hingga rata Masak lagi sampai beberapa jam || 🥩Setelah sekitar 3 jam, hasilnya berupa kalio (rendang setengah jadi /nyemek2). Biasanya saya suka sampai proses ini. 🥩Masak sampai sekitar 1-2 jam lagi sampai mendapatkan rendang yang kering. Masak pakai api kecil saja, sambil sesekali diaduk supaya dasar wajan tidak gosong. || 🥩Koreksi rasanya. Matikan api. 🥩sajikan dengan berbagai pelengkap yg lain 🥩bisa juga dikemas dalam wadah kedap udara menjadi beberapa bagian dan simpan dalam freezer (sebagai Frozen food. Biasanya saya masak rendang beberapa hari sebelum hari raya. Nanti pas hari H tinggal angetin👍)",6,5 jam,,Erlyn Bukhori,"Kuta utara, Bali",https://cookpad.com/id/resep/25491881
121,Rendang Sapi,rendang,"#Semangcook_HidanganRaya #InspirasiDapurRamadan #HidanganHariRaya #SemangcookHokyaHokye26 #CookpadCommunity_Semarang Sekali2 di hari lebaran gk cm opor sama sambal goreng aja ya... Aku sndr gk terlalu suka opor. Biasa kalo opor suka digoreng aja.. mlh kemarin ada rica2,...","1 kg Daging sapi , potong selera, jangan tll tebal | 1,5 liter (dari 2 butir kelapa ) Santan dari kelapa | 2 sdm Gula merah | 4 butir Kemiri | 2 sdt Kaldu bubuk | 1,5 sdt Garam | Bumbu halus : | 5 buah Kapulaga | 5 butir Cengkeh | 3 buah Pekak | 1 sdt Ketumbar bubuk | 1 sdt Pala bubuk | 60 gr Bawang putih | 80 gr Bawang merah | 100 gr Cabe merah | Bumbu aromatik : | 5 lembar Daun jeruk | 1 lembar, simpulkan Daun kunyit | 5 lembar Daun salam | 3 batang , geprek Serai",20,"Potong daging, jangan dicuci, cukup dilap tisu dapur. || Tumis bumbu halus hingga harum, masukkan serai, daun salam, daun kunyit, daun jeruk. || Tuang santan, tambahkan garam, kaldu, gula. Sering-sering diaduk agar santan tidak pecah. Harusnya tahap ini santan dimasak hingga mengeluarkan minyak. Tp aku cukup sampai mendidih saja. || Masukkan daging, masak api sedang kecil, aduk sesekali hingga mengental dan daging empuk.",4,2 jam,,Nur Erma,Ambarawa Kab. Semarang,https://cookpad.com/id/resep/25563080
122,862. 🥩 Rendang,rendang,🥩 Rendang. Bismillah.. #InspirasiDapurRamadan #HidanganHariRaya #Kombes_HidanganHariRaya #CookpadCommunity_Bekasi,"1 kg daging sapi | 2500 ml santan kental (dari 3 btr kelapa tua parut) | 3 btg sereh , geprek | 1 lbr daun kunyit , sobek² | 5 Ibr daun salam | 🥀Bumbu yang dihaluskan : | 250 gr cabe keriting merah | 4 buah cabe rawit | 150 gr bawang merah (boleh lebih) | 6 siung bawang putih | 1 sdt jinten | 1 sdt adas | 1 butir pala | 5 butir cengkeh | 3 btr kemiri , sangrai | 3 sdm ketumbar | 1 sdt merica | 3 jempol jahe | 2 jempol kunyit | 3 jempol lengkuas | secukupnya garam | secukupnya Gula (saya tidak pakai)",22,"Potong2 daging kira2 1 kg jadi 20 potong. Tumbuk bumbu hingga halus. Masukkan daging dan bumbu halus ke dalam wajan, tambahkan serai, daun kunyit, daun salam dan garam. Aduk daging dan bumbu hingga merata. Diamkan minimal 15 menit (posisi kompor mati) Setelah 15 menit nyalakan api kompor. Daging akan mengeluarkan air, semakin lama semakin banyak air nya. || Teruskan memasak hingga air menyusut baru tuang santan nya. Setelah santan mendidih, lalu kecilkan api. Kemudian masukan parutan kelapa yg sudah di sangrai & haluskan setelah itu Masak sambil diaduk sampai daging empuk dan bumbu berminyak.",2,4 jam,5 porsi,Intan Zahra Al Arsyad (Bunda'Reycha),Bekasi,https://cookpad.com/id/resep/25563074
123,Kukis Rendang Kelapa,rendang,"Di hari lebaran, sudah menjadi tradisi untuk saling berkunjung ke rumah saudara atau ke rumah nenek untuk bersilaturahmi dan bermaaf-maafan. Dan di meja tamu seringkali dihidangkan berbagai macam kukis. Jika kebanyakan kukis rasanya manis, kali ini saya buat yang gurih...",120 gr butter | 75 gr margarin | 45 gr gula halus | 65 ml santan instan | 2 sdm chili flakes | 50 gr pasta rendang | 200 gr tepung protein rendah | 70 gr kelapa parut sangrai | Bahan topping | Secukupnya irisan cabai merah keriting,10,"Sangrai parutan kelapa muda hingga kering dan kecokelatan menggunakan api sedang cenderung kecil agar tidak cepat gosong. (Dari sekitar 150 gr menjadi 70 gr). Biarkan dingin, sisihkan. || Masukkan butter, margarin dan gula halus dalam wadah. Aduk rata menggunakan ballon whisk. || Masukkan santan instan dan chili flakes. Aduk rata kembali. || Masukkan pasta / bumbu rendang instan, aduk rata. || Masukkan tepung terigu yang sudah diayak dan kelapa sangrai, aduk rata menggunakan spatula. || Masukkan adonan dalam piping bag, lalu semprotkan di atas loyang sesuai selera. Beri irisan cabai merah. || Panggang kukis dalam oven dengan suhu 160°C selama 25 - 28 menit atau hingga matang. Dinginkan diatas cooling rack, lalu simpan dalam toples.",7,1 jam,,meindra widyani,Semarang,https://cookpad.com/id/resep/25500559
