Nomor Registrasi,Nama Produk,Komposisi,Bentuk Sediaan,Kemasan,Pendaftar,Perusahaan,Negara_Asal,Tanggal Terbit,Masa Berlaku s/d,Status,Kategori_Obat,Golongan_Obat,Asal_Obat,Jumlah_Zat_Aktif,Durasi_Registrasi_Tahun,Sudah_Kedaluwarsa,Jumlah_Varian_Kemasan
DKI2265000144C1,ELIGARD,LEUPRORELIN ACETATE,SERBUK INJEKSI + PELARUT,"DUS, SYRINGE A (PELARUT) + SYRINGE B (LEUPRORELINE ACETATE)",MEPROFARM - Indonesia,MEPROFARM,Indonesia,2026-02-12,2029-03-08,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,3.1,False,1
DKI2265100117A1,TEZA,TEGOPRAZAN,TABLET SALUT SELAPUT; 50 mg,"DUS, 3 BLISTER @ 10 TABLET SALUT SELAPUT",KALBE FARMA - Indonesia,KALBE FARMA,Indonesia,2022-10-07,2027-10-07,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1
DKI2265200111A1,BUFFERED BINOSTO,ALENDRONATE SODIUM TRIHYDRATE,"TABLET EFFERVESCENT; 91,37 MG","DUS, 2 STRIP @ 2 TABLET EFFERVESCENT ;; BOX, 2 STRIP @ 2 TABLET EFFERVESCENT",PYRIDAM FARMA TBK - Indonesia,PYRIDAM FARMA TBK,Indonesia,2024-03-01,2029-03-01,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,2
DKI2265300117A1,I-HEP SOBOVIR,SOFOSBUVIR,TABLET SALUT SELAPUT; 400 MG,"DUS, 1 BOTOL PLASTIK @ 28 TABLET SALUT SELAPUT",INTERBAT - Indonesia,INTERBAT,Indonesia,2022-10-14,2027-10-14,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1
DKI2265400117A1,GOOFICE,ELOBIXIBAT MONOHYDRATE,"TABLET SALUT SELAPUT; 5,13 MG","DUS, 1 AMPLOP @ 10 BLISTER @ 10 TABLET SALUT SELAPUT",EISAI INDONESIA - Indonesia,EISAI INDONESIA,Indonesia,2022-11-03,2027-11-03,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1
DKI2265500117A1,ROZET,EZETIMIBE. ROSUVASTATIN CALCIUM,TABLET SALUT SELAPUT; 10.0 mg /10.4 mg,"DUS, 3 BLISTER @ 10 TABLET SALUT SELAPUT",KALBE FARMA - Indonesia,KALBE FARMA,Indonesia,2022-12-23,2027-12-23,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1
DKI2265500117B1,ROZET,EZETIMIBE. ROSUVASTATIN CALCIUM,TABLET SALUT SELAPUT; 10.0 mg /20.8 mg,"DUS, 3 BLISTER @ 10 TABLET SALUT SELAPUT",KALBE FARMA - Indonesia,KALBE FARMA,Indonesia,2022-12-23,2027-12-23,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1
DKI2265600117A1,ERTANA,ERLOTINIB HYDROCHLORIDE,TABLET SALUT SELAPUT,"DUS, 3 BLISTER @ 10 TABLET SALUT SELAPUT",ETANA BIOTECHNOLOGIES INDONESIA - Indonesia,ETANA BIOTECHNOLOGIES INDONESIA,Indonesia,2022-12-28,2024-12-28,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,2.0,True,1
DKI2265600117B1,ERTANA,ERLOTINIB HYDROCHLORIDE,TABLET SALUT SELAPUT,"DUS, 3 BLISTER @ 10 TABLET SALUT SELAPUT",ETANA BIOTECHNOLOGIES INDONESIA - Indonesia,ETANA BIOTECHNOLOGIES INDONESIA,Indonesia,2022-12-28,2024-12-28,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,2.0,True,1
DKI2265700143A1,SANDOSTATIN,OCTREOTIDE,INJEKSI,"DUS, 5 AMPUL @ 1 ML",NOVARTIS INDONESIA - Indonesia,NOVARTIS INDONESIA,Indonesia,2024-05-24,2028-04-23,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,3.9,False,1
